what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412394415100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394438180
activated,view,com.android.ide.eclipse.ddms,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.ddms.views.LogCatView",1412394669681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394669688
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412394669701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394674811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394674987
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1412394684920
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412394684934
closed,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1412394684953
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412394692801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412394692836
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412394694486
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412394694708
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412394694745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394706300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394989134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412394990180
