what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394898288364
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394898288364
java.vm.specification.version,sysinfo,,,"1.7",1394898288364
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394898288364
java.vm.version,sysinfo,,,"21.0-b17",1394898288364
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1394898288370
started,bundle,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.adt",1394898289115
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1394898289137
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1394898289138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898289186
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1394898289893
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1394898289904
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1394898290230
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1394898290253
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1394898292694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898299235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898299256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898310997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898330154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898331391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898334781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898336073
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394898352728
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1394898374857
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1394898374913
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1394898382911
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1394898382933
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.6.0.v201403010043-1049357,"overlay.com.android.ide.eclipse.adt.overlay",1394898383093
stopped,bundle,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.adt",1394898383096
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1394898383096
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1394898383096
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1394898383096
