what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412470251550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470257385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470259637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470304831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470451630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470453389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470461669
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412470464572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412470468483
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412470468484
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1412470470860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470502295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470502489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470509087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470510441
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412470513602
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1412470518474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1412470524814
activated,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1412470526390
closed,editor,com.android.ide.eclipse.adt,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.editors.CommonXmlEditor",1412470526390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1412470528031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470559520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470561241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470613216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470656051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412470667295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412470682465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470686633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412470721412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470724426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470724925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470724958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470724992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470725024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470725057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470725090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470725123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470725156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412470725189
