what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412385505275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412385511848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412385514256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386017017
opened,view,com.android.ide.eclipse.ddms,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.ddms.views.LogCatView",1412386103583
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1412386154510
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1412386154529
activated,view,com.android.ide.eclipse.ddms,22.6.0.v201403010043-1049357,"com.android.ide.eclipse.ddms.views.LogCatView",1412386155174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412386193523
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412386229396
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412386249012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412386257490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386261953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386264493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1412386340523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1412386340842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1412386341065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412386357728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1412386362223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1412386362467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1412386362696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1412386368139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386371472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386384904
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412386384930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386405712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386406003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386408723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386410981
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1412386415893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386426124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386429186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1412386429198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386431642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386478388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386478418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386480091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386489501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386493462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386497846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386501292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386542433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412386544356
